company_name,country,role,dock_models,dock_count,website,linkedin_url,evidence_url_1,source_type_1,evidence_url_2,source_type_2,confidence,notes
Solectric GmbH,Germany,Distributor,Dock 1,Unknown,https://www.solectric.de/?lang=en,https://www.linkedin.com/posts/solectric-distribution-gmbh_milestone-solectric-europe-activity-7065286271622901760-EoVD,https://www.youtube.com/watch?v=cg2QgoXtg7Y,Social Media Post,https://www.linkedin.com/posts/solectric-distribution-gmbh_milestone-solectric-europe-activity-7065286271622901760-EoVD,LinkedIn Post,High,"Largest DJI distributor in Europe; ran one of the first fully automated DJI Dock flights in Germany."
Droniq GmbH,Germany,System Integrator,"Dock 1; Dock 2; Dock 3",Unknown,http://www.droniq.de,https://de.linkedin.com/company/droniq,https://droniq.de/en/produkte/drone-in-a-box-system/dji-dock-2/,Company Website,https://droniq.de/en/dji-dock-europaweit-erste-betriebsgenehmigung/,Company Website,High,"Provides DJI Dock, Dock 2 and Dock 3 drone-in-a-box systems including Europe’s first BVLOS operating license with a German chemical company."
U-ROB,Germany,System Integrator,"Dock 1; Dock 2; Dock 3",5,https://u-rob.com,https://www.linkedin.com/company/u-rob/,https://u-rob.com/shop/schulungen/dji-dock-2-inkl-genehmigung-und-inbetriebnahme/,Company Website,https://www.drones-magazin.de/en/stories/fully-automated-birds-nest-monitoring-with-drones/,Industry Article,High,"German DJI reseller/system integrator offering Dock 1/2/3 packages with permits and commissioning; operates a project using five DJI Dock 2 units for fully automated bird’s-nest monitoring."
Dronivo GmbH,Germany,Distributor,"Dock 2; Dock 3",Unknown,https://www.dronivo.de,https://de.linkedin.com/company/dronivo,https://www.dronivo.de/DJI-Dock-2-no-Aircraft-Remote-Control-Sender,Company Website,https://www.dronivo.de/DJI-Dock-3-no-Aircraft-Remote-Control-Sender,Company Website,High,"Drone systems provider in Ludwigshafen distributing DJI Dock 2 and DJI Dock 3 hardware and complete Dock 2 bundles with training and permits."
Globe Flight GmbH,Germany,Authorized Dealer,"Dock 2; Dock 3",Unknown,https://www.globe-flight.de,https://de.linkedin.com/company/globe-flight-gmbh,https://www.globe-flight.de/DJI-Dock-2-EN,Company Website,https://www.globe-flight.de/DJI-Dock-3-EN,Company Website,High,"German DJI Enterprise dealer listing DJI Dock 2 and DJI Dock 3 with full technical specifications for local customers."
Airclip Service GmbH & Co. KG,Germany,Authorized Dealer,"Dock 2; Dock 3",Unknown,https://www.airclip.de,https://de.linkedin.com/company/airclip,https://www.airclip.de/DJI-Dock-2,Company Website,https://www.airclip.de/Dock-3-complete-package-including-operating-license,Company Website,High,"Dresden-based surveying solutions provider reselling DJI Dock 2 and offering a DJI Dock 3 complete package including operating license."
geo-konzept GmbH,Germany,System Integrator,"Dock 2; Dock 3",Unknown,https://geo-konzept.de,https://de.linkedin.com/company/geo-konzept-gmbh,https://geo-konzept.de/uebersicht-fernerkundung/fernerkundung_produktuebersicht_flugsystemeloesungen_dock-3/,Company Website,https://geo-konzept.de/en/dock-3-dji-veroeffentlicht-neuen-automatisierten-drohnenhangar/,Company Website,High,"Remote-sensing and precision-farming integrator in Adelschlag marketing DJI Dock 3 (and Dock use cases) for automated surveying and agricultural trials."
SaarDrones,Germany,System Integrator,"Dock 2; Dock 3",Unknown,https://www.saardrones.de,https://de.linkedin.com/company/saardrones,https://www.saardrones.de/post/dji-dock-3,Company Website,https://www.saardrones.de/post/dji-dock-2,Company Website,High,"Enterprise drone integrator in Saarland promoting DJI Dock 2 and DJI Dock 3 for automated inspections, security and long-term monitoring."
Drohne112.de,Germany,DFR Service Provider,Dock 2,Unknown,https://www.drohne112.de,,https://www.drohne112.de/dock2.html,Company Website,https://enterprise-insights.dji.com/blog/how-drones-enhance-different-stages-of-a-water-rescue,DJI Case Study,High,"Public-safety-focused provider integrating DJI Dock 2 with Matrice 3TD for German fire and rescue agencies (e.g., Baltic Sea water-rescue trials)."
Feuerwehr Timmendorfer Strand,Germany,Government End-User,Dock 2,Unknown,https://www.feuerwehren-gemeinde-timmendorfer-strand.de/Die-Wehren/Timmendorfer-Strand/Fahrzeuge-Technik-/Drohne-/,,https://enterprise-insights.dji.com/blog/how-drones-enhance-different-stages-of-a-water-rescue,DJI Case Study,https://www.drohne112.de/hall-of-fame.html,Company Website,Medium,"Municipal fire service in Schleswig-Holstein piloting DJI Dock 2 water-rescue operations on the Baltic Sea together with Drohne112.de."
CONDOR Schutz- und Sicherheitsdienst GmbH,Germany,Enterprise End-User,"Dock 2; Dock 3",Unknown,https://www.condor-sicherheit.de,https://de.linkedin.com/company/condor-security-and-safety,https://www.condor-sicherheit.de/condor-group/aktuelles/aktuelle-meldung/detail/condor-und-u-rob-testen-dji-dock-2,Company Website,https://www.condor-drones.de/drohnen-showroom,Company Website,High,"Private security group testing DJI Dock 2 with U-ROB and marketing DJI Dock 3-based security and monitoring solutions in Germany."
