"Score","Band","Group","Company","Country","City","Industry","Signal Type","Use Case","Summary","Title","Publisher","Published Date","URL","FlytBase Mentioned","Key People","Key Entities","Is Duplicate","Drop Reason"
"90","Hot Lead (75+)","West","Volatus Aerospace Inc.","North America","","Energy & Utilities","CONTRACT","Power Line Inspection, Vegetation Management, Substation Assessment, Emergency Storm Response, Data Acquisition","Volatus Aerospace has secured a multi-year, CAD $15 million agreement with a major North American electricity utility to provide drone-based inspection, mapping, and data services for approximately 100,000 miles of transmission and distribution lines.","Volatus Aerospace Secures Major Multi-Year Agreement with a - GlobeNewswire","GlobeNewswire","2025-09-16","https://news.google.com/rss/articles/CBMipwJBVV95cUxQYUpQR1dwVjNXSDBrX2dvZmJLdjVmTGRQeWFCOFN5VzVWTUhoTmpLaTJKQ3gyNllNOVZMZnFTUnhCZ0FmWlNXalkycXFnc3EzaWh6MGo1eXREWHdQbllFcHctT3BBNk9wYlE4bVdpTFA1RU93RzJuZTRNRHZ2QUtQWHBQb3V6OER0NHNqNHAxRHIyR2VyYXhTMC1LSFNlNEotNF8zQy1NYjJyR3R3cnRweUhSbl9UeUYxalJZMFRfQkxxcUU2R096ODZwc0psQk4zdElyQl9IS0V6elI1YVZHZDlJN0ZLbVktXzlkVkhpbzcyVnROWlYtZTZqUUVVcUVZSF9Jc2VpRnNNQmJsX09vQzRtTDU2UzR4TllTYTlPN0E1bFFRbGpr?oc=5","No","Glen Lynch (CEO)","Volatus Aerospace Inc. [si]; North American power utility [buyer]","No",""
"90","Hot Lead (75+)","West","Flock Safety","USA","Prosper","Public Safety & Emergency Response","DEPLOYMENT","Drone as First Responder (DFR)","Flock Safety has officially launched the first in-state Drone as First Responder (DFR) program in Texas, providing automated drone technology to the Town of Prosper Police Department.","Next-Gen Policing Takes Flight in Prosper, Texas - Flock Safety","Flock Safety","2025-09-18","https://news.google.com/rss/articles/CBMihwFBVV95cUxORVJQaTFEMnZnX3lCZWp3X0xOa2dnU2hOWkNLVUt3U2lFSExYcHR6STFzd1VaeGd0a3c4NEtrSkFTbl9kb0xtcE5oc1kzYzVISXM1ejlTYTNhbXVBV25XM3IyYzE3cnktYjRlQU5VUU8wYmdkeWUtUU40Q2JQbU9RbS1CMkNVc1E?oc=5","No","","Flock Safety [si]; Prosper Police Department [buyer]; Town of Prosper [buyer]","No",""
"90","Hot Lead (75+)","West","MITS Industries","Ukraine","Kyiv","Other: Defense","EXPANSION","Drone-as-a-service for advanced drone and counter-drone systems in defense","MITS Capital launched MITS Industries, a new Danish-Ukrainian defense firm uniting Ukrainian drone makers Tencore, Infozahyst, and Unwave, operating on a drone-as-a-service model for defense applications.","New Danish-Ukrainian Defense Firm Unites Ukrainian Drone Makers - The Defense Post","The Defense Post","2025-09-19","https://news.google.com/rss/articles/CBMie0FVX3lxTE0weUFyaVhtSW9JaENqNWxyNF8zNE42SldHLTZiVkpDUFExX3Q4ZlBHbm1LMmotOHRad29vOGFYeGxkZVB1QXg0alR4c0JJZDN4b2RBa1h6ZWRrRVB4aDF0NFhvdFVzZzM2VXExN2ZsZlRlMFRXUTZVMjNtNNIBgAFBVV95cUxNME02STJOOUhsUS13TlQxdzhxNjd1TTlsNWMwRmh6VGtobkVzMEV2YllacmNvdW02UVRYMEFqdTU3WHJpRlFtSG5RaUNicV9sUEVweGw5YncxT0xjQ0l3Z25KcFg4Ykh3UkhWTmM3Q0ozazBOaU15S2x5WjUtRG9BaA?oc=5","No","Perry Boyle (CEO and Founding Partner; Chairperson); Denys Gurak (CIO and Founding Partner)","MITS Capital [partner]; Tencore [partner]; Infozahyst [partner]; Unwave [partner]","No",""
"90","Hot Lead (75+)","West","MITS Industries","Ukraine","Kyiv","Other: Defense","EXPANSION","Defense/Military (drone-as-a-service for advanced drones and counter-drone technologies)","MITS Capital launched MITS Industries, a new Danish-incorporated company to consolidate Ukrainian defense-tech firms like Tencore, Infozahyst, and Unwave, operating under a ""drone-as-a-service"" model to strengthen European security.","MITS Capital launches the defense tech company MITS Industries - Scroll.media","Scroll.media","2025-09-17","https://news.google.com/rss/articles/CBMifkFVX3lxTFA1aTFzV3VydWVmTTI1SWZxbmlialpqX255c0pXNjNrcnlob2lrNHIxWUNHdjlEY3JXUHFRSkJFTWNxa0k5T3BxNHJxSUFvYzNKQjhwRjZxWmpCa2NKa3pCaHk0SW9rRy1qV0ZjSHlpUng3ek9sMkpzMWQ2SHZEZw?oc=5","No","Perry Boyle (co-founder and CEO; chairman); Denys Gurak (co-founder and CIO/COO)","MITS Capital [partner]; Tencore [partner]; Infozahyst [partner]; Unwave [partner]","No",""
"90","Hot Lead (75+)","West","Skye Air Mobility","India","Bengaluru","Other: Healthcare Logistics","DEPLOYMENT","Medical supply delivery; grocery and essential item delivery","Skye Air Mobility has active drone delivery operations in Gurugram and Bengaluru, completing nearly 6,000 deliveries daily, including a partnership with BigBasket for groceries and medicine, and DaaS pilots with Swiggy Instamart.","India bets on drones and eVTOLs to save lives in remote regions - The STAT Trade Times","The STAT Trade Times","2025-09-15","https://news.google.com/rss/articles/CBMipwFBVV95cUxNYkE4bXgtTmMxM1JvRXZWUWpWcldQOFV0OUFPSnlORTc5cnpLNDNkcUp3eUZpbVU0M25idzZ5RjZXNEZ6ZmM5bHJ0Y0dKRzYzQ0dLVFBxWG4xRm9RajVaRTlNNEpMYV9GTHJEVDNVSVEycHNzaUQ4NUp6dml2N0syVmpFOUxMeWZEVGlWV3dEVG1wR2FGamNoTUdJMk9YdkU5dF9sMnFjRdIBrAFBVV95cUxPb0ZjMm1IcllDaEJWYTU0Q082UVBub0FKUkE0X3FDWVFuR2JpZmoxWC00cTdlRncwNjE4Tzk3UVFwVlJSZmJMWG51ck11TnluVVFVenRhcy1LV0p1Z19xZnY4bWlBRlo2YkxsenBDejcwbGQ2N1Jld1Fham5EemRCREVDTDBRUDJUaEVUckxwZktyZzBnRHZtbHdNYUo4VVRrMndOZzVEV19iRUZH?oc=5","No","Vinay MK (CEO)","Amber Wings [operator]; Ubifly Technologies [other]; The ePlane Company [other]; BigBasket [buyer]; Swiggy [buyer]; Garuda Aerospace [operator]; Marut Dronetech [operator]","No",""
"90","Hot Lead (75+)","West","MITS Industries","Ukraine","Kyiv","Other: Defense","EXPANSION","Defense/Military (drone-as-a-service for advanced drone and counter-drone solutions)","MITS Capital launched MITS Industries, a new Danish-Ukrainian defense technology company consolidating leading Ukrainian firms like Tencore, Infozahyst, and Unwave, operating on a ""drone-as-a-service"" model to scale production of advanced drone and counter-drone solutions.","MITS Capital launches MITS Industries, a Danish-Ukrainian defence venture to strengthen Europe - Defence Industry Europe","Defence Industry Europe","2025-09-21","https://news.google.com/rss/articles/CBMivwFBVV95cUxQTFAwMWM4ZzFCYzVua0tOVkxaNjI5RERmWExXYlZBMVlQLTZxZEg1Mk9yT1NyUGNoMVBaZUZjbm52VmkwUmVuck0tRk53cW92eXFBdzlUbUFlNE9UMXhlb0c5dkFqQkxaZGd5ZVRPNDlmQVBwWTNKOWpBOWs0TEtlaEp6MkRzeVJPYmRHSlJnODROallVQm9MZy1yNGZReGJ3OW1Qd0ZMc2t3QUoySjRHd1g3b0dwMEQyLUtRekVRYw?oc=5","No","Perry Boyle (CEO & Founding Partner; Chairman); Denys Gurak (CIO & Founding Partner)","MITS Capital [partner]; Tencore [partner]; Infozahyst [partner]; Unwave [partner]","No",""
"90","Hot Lead (75+)","East","Marut Drones","India","","Agriculture & Forestry","DEPLOYMENT","Crop management, spraying, fertilizing, seed sowing","Marut Drones is actively supporting Indian farmers with efficient crop management using its DGCA-certified AG 365 drone for spraying, fertilizing, and seed sowing.","“Drones support Indian farmers with efficient crop management” - FreshPlaza","FreshPlaza","2025-10-01","https://news.google.com/rss/articles/CBMiugFBVV95cUxNUjRqcnBuUWJDeWx0UlpLNzROempzRk1pdHJ2ZWNqRlNRWkJjeFJzdlpxYkdtN3FBa2p3SEgyRDl4ZkxGY0NmSDQwY0xLVlhZa2tBT3B4WUdwdWl6ZzNINzVyM2hxeEJUOUZBdjVfRW5MUk4yNW93ZHlWWllhRUctSzNFMHI0UG1MaHc2WllrUlpSTGZBWDhHMFVDYkstQ1hYWWNpWHlDcGJtczRKUW9wMXZWQUhWWTJIVVE?oc=5","No","Prem Kumar Vislawath (Founder & CEO)","Marut Drones [oem]; DGCA [regulator]","No",""
"85","Hot Lead (75+)","West","Flock Safety","USA","Redondo Beach","Public Safety & Emergency Response","EXPANSION","Drone as First Responder (DFR)","Flock Safety is expanding its Drone as First Responder (DFR) solutions with its Aerodome platform, led by Rahul Sidhu, who previously founded Aerodome and deployed one of the first DFR programs in Redondo Beach, CA.","How Flock Aerodome Is Reinventing Public Safety From the Sky - Flock Safety","Flock Safety","2025-09-17","https://news.google.com/rss/articles/CBMimAFBVV95cUxPYXYweTJ4ckhxWE50a2VQYlRIQ2tOR09HRXZJQk5nSTFNc0hsam9sTDZoWFAteWVoLU83cVYxd05aNUNVOUJYOC10VzdUSlV5ZUxGdjg0Yzg0aVEwMGJWMVJpNFZWZ0pMbnA0QzFCMDJmX25xSDhOTWRyM2NYaENHT1VveExmUXZ5ZGRnRU1OQzk4SHE1THJZXw?oc=5","No","Rahul Sidhu (Vice President of Aviation); Jamie Hudson (Podcast Host); Dalton Webb (Podcast Host)","Redondo Beach, CA [buyer]","No",""
"85","Hot Lead (75+)","West","DragonFly UAS Co","US","Phoenix","Public Safety & Emergency Response","EXPANSION","Multi-sector UAS operations and services including public safety, military, emergency response, photogrammetry, 3D modeling, construction, and disaster prevention","DragonFly UAS Co. expects revenue to double with new overseas orders for VTOL drones from US and European public safety, military, and emergency response sectors, and plans to adopt a drone-as-a-service model with operations in the US.","Drone maker DragonFly expects revenue to double - Taipei Times","Taipei Times","2025-09-19","https://news.google.com/rss/articles/CBMidkFVX3lxTE5XT0NUNWUyUmVrUnFMeFJIMmd6MXBUcWhXcjZ6T0dVWS03OFk4TmFkdW9OVS10OGw3R3JOYzdWYVM3b2k5Nms5Z3NmZklpWGNfUjFZUkJKNTFMVVBLNzJwalM2cjkyVEY4alM1ODdObVNRNU9jLXc?oc=5","No","Arvin Li (chief executive officer)","Skydio Inc [oem]; Qisda Corp [partner]","No",""
"85","Hot Lead (75+)","West","heliguy™","UK","London","Public Safety & Emergency Response","DEPLOYMENT","Drone First Responder (DFR), rapid emergency response, situational awareness","Heliguy™ is a key partner in advancing frontline policing with Drone as First Responder (DFR) programs across the UK, including the Met Police's deployment of DJI drone-in-a-box systems in London for rapid incident response.","DFR in action: Advancing frontline policing with drone in a box technology - Heliguy","Heliguy","2025-10-23","https://news.google.com/rss/articles/CBMifkFVX3lxTE1SbUZvZjN5ekUtTUxoeURyQVRvYzg5TDkxUnd3VUhrUGlIZkxXWFo2bDdPRDQyd3VXTDFIc2hDUjhwdmV5NHoybTB5a3BTYjJ6S3BibmFhVzRKVi04MjMyUVMxMmxvNTlJeXlKMlZXWVlRSlFpVmpMZ1BqUkkyZw?oc=5","No","James Willoughby (null); Supt Taryn Evans (Strategic lead for the Drones Team)","heliguy™ [partner]; Met Police [buyer]; National Police Chiefs’ Council (NPCC) [regulator]; DJI [oem]","No",""
