company_name,country,role,dock_models,dock_count,website,linkedin_url,evidence_url_1,source_type_1,evidence_url_2,source_type_2,confidence,notes
Sekido (株式会社セキド),JP,Authorized Dealer,Dock 2 + Dock 3,Unknown,https://sekidocorp.com/,https://www.linkedin.com/company/sekido/,https://sekido-rc.com/blog/2024/03/27/enterprise_0015/,Dealer Blog,https://sekidocorp.com/20260121_34556/,Official Press,High,"Official DJI Authorized Dealer. Est. 2012. Operates physical stores in Tokyo (Toranomon) and Yokohama. Sales network of ~300 partners across Japan. Hosts DJI Dock 3 demonstrations."
System5 (株式会社システムファイブ),JP,Authorized Distributor,Dock 2 + Dock 3,Unknown,https://www.system5.jp/,https://www.linkedin.com/company/system5-co-ltd-/,https://prtimes.jp/main/html/rd/p/000000143.000024840.html,Press Release,https://dji-info.system5.jp/collections/dock/products/dji-dock3,Dealer Site,High,"Official DJI Distributor. Began handling Dock 3 in Feb 2025. 3 consecutive years top sales in Japan. Nationwide dealer network. HQ: Chiyoda Ward, Tokyo."
SORABOT (合同会社SORABOT),JP,Software Platform + System Integrator,Dock 2 + Dock 3,Multiple,https://www.sorabot.com/,https://www.linkedin.com/in/hideki-okumura/,https://www.sorabot.com/blog/CSPI2023/DJIDOCK,Blog,https://prtimes.jp/main/html/rd/p/000000014.000111543.html,Press Release,High,"Bronze Solutions Partner. Provides DJI Dock-compatible remote control platform (FlytBase integration). Active demonstrations at Japan Drone 2024. DJI Dock rental/integration consulting."
AfterFIT (株式会社アフターフィット),JP,Enterprise End-User,Dock + Compatible Heisha Drone Nest,1,https://www.afterfit.co.jp/,Unknown,https://www.flytbase.com/blog/solar-farm-inspections,Case Study,https://dronedj.com/2022/05/27/bvlos-drones-night/,News Article,High,"Renewable energy company. Operates at 1,924KW solar plant in Tochigi Prefecture. First in Japan with BVLOS night flights approval. Uses DJI drones + Heisha drone dock. Operational since 2022."
JDRONE (株式会社ジェイドローン),JP,Enterprise End-User + Service Provider,Dock 3,1+,https://jdrone.tokyo/,Unknown,https://dji-info.system5.jp/en/blogs/enterprise/snow-backcountry-jdrone,Case Study,https://dronelife.com/2024/10/14/jdrone-launches-cargo-drone-service-in-rural-japan-with-powerful-heavy-lift-drones/,News Article,High,"Tokyo-based cargo drone operator. DJI Dock 3 deployment consulting and operational support. Deployed at Nozawa Onsen Ski Resort. Cargo service since Aug 2024. Search and rescue applications."
Tohasen (トーハーセン),JP,Authorized Dealer,Dock 2 + Dock 3,Unknown,https://tohasen.com/,Unknown,https://tohasen.com/dji-drone/remote-drone-operation-solutions/dji-dock-3/,Dealer Site,https://www.tohasen-robotics.com/,Corporate Site,High,"Official DJI Authorized Distributor. Offers Dock 2 and Dock 3 bundles with drones. DJI Dock 3 training center established at T-MIB Drone Field (Jan 2026). Robotics company division."
Sora Media (そらメディア),JP,Authorized Dealer,Dock 2 + Dock 3,Unknown,https://www.ctv.co.jp/sora-media/remote-control/,Unknown,https://www.ctv.co.jp/sora-media/remote-control/,Dealer Site,Unknown,Unknown,Medium,"Official DJI Authorized Dealer. Promotes DJI Dock 2 and 3. Focus on easy installation and automation capabilities. Limited online presence."
Drone Business Laboratory (ドローンビジネスラボラトリー/D-Lab),JP,Academia/Research + Training,Dock 3,Unknown,https://dlabo.jp/,Unknown,https://dlabo.jp/dji-dock-3/,Official Site,https://dlabo.jp/%E3%80%8Cdji-dock-3%E3%80%8D%E5%AE%9F%E6%BC%94%E3%82%BB%E3%83%9F%E3%83%8A%E3%83%BC%E3%80%80%E7%B5%82%E4%BA%86%E3%81%AE%E3%81%94%E5%A0%B1%E5%91%8A/,Event Report,High,"Drone training school (est. 2019). Multiple bases: Kurashiki, Tokyo, Ishioka, Ibaraki. Conducted DJI Dock 3 demonstration seminars. Focuses on Level 3/3.5 flight operations."
HOVERING (ドローンショップ HOVERING ONLINE),JP,Authorized Retailer,Dock 2 + Dock 3,Unknown,https://hoveringonline.com/,Unknown,https://hoveringonline.com/products/detail/1967,Dealer Site,https://hoveringonline.com/products/list?category_id=551,Dealer Site,Medium,"DJI Authorized Enterprise Retailer. Carries Dock 2 and 3 products. Online shop focused on industrial drone solutions. DJI Care Enterprise Plus available."
Drone Station (ドローンステーション),JP,Authorized Retailer,Dock 2,Unknown,https://www.drone-station.net/,Unknown,https://www.drone-station.net/products/detail.php?product_id=24172,Dealer Site,Unknown,Unknown,Medium,"Official DJI Partner. Lists DJI Dock 2 in product catalog. Online sales focused. Limited product information available."
DJI Japan (DJI JAPAN 株式会社),JP,Government/Official Entity,Dock 2 + Dock 3,Unknown,https://www.dji.co.jp/,Unknown,https://prtimes.jp/main/html/rd/p/000000324.000015765.html,Press Release,Unknown,Unknown,High,"Official DJI subsidiary in Japan. HQ: Trade Pia Odaiba 9F, Minato-ku, Tokyo. Sales: sales.jp@dji.com. Announces product launches and maintains DJI dealer network."
Nozawa Onsen Ski Resort,JP,Enterprise End-User,Dock 3,1,Unknown,Unknown,https://dronedj.com/2025/05/21/dji-drone-ski-resort-japan/,Case Study,https://dri-info.system5.jp/en/blogs/enterprise/snow-backcountry-jdrone,Case Study,High,"Ski resort in Nagano. Operates DJI Dock 3 with Matrice 4D/4TD for avalanche detection and terrain monitoring. 24/7 autonomous operations in extreme weather. Emergency response applications."
FlytBase,Global,Software Platform,N/A (Compatible with Dock),N/A,https://www.flytbase.com/,https://www.linkedin.com/company/flytbase/,https://www.flytbase.com/blog/solar-farm-inspections,Case Study,https://www.flytbase.com/blog/dji-dock-features-applications-and-case-studies,Blog,High,"Third-party software platform compatible with DJI Dock. Used by AfterFIT for BVLOS operations. Helps obtain JCAB certifications in Japan. Operational support for Japanese enterprises."
