"Rank","Company","Score","Region Priority","Industry Priority","Regions","Industries","Mentions","Website","LinkedIn"
"1","Amazon","1.00","HIGH","HIGHEST","USA","Ports, Maritime & Logistics Hubs","1","",""
"2","Flock Safety","1.00","HIGH","HIGHEST","USA","Perimeter Security & Smart Facilities; Public Safety & Emergency Response","2","",""
"3","Volatus Aerospace Inc.","0.75","MEDIUM","HIGHEST","North America","Energy & Utilities","1","",""
"4","Fuvex","0.75","MEDIUM","HIGHEST","Spain","Oil & Gas / Industrial Assets","1","",""
"5","National Police Air Service (NPAS)","0.65","HIGH","STANDARD","UK","Public Safety & Emergency Response","1","",""
"6","Versaterm","0.65","HIGH","STANDARD","USA","Public Safety & Emergency Response","1","",""
"7","ZenaTech Inc.","0.65","HIGH","STANDARD","USA","Construction & Infrastructure; Unknown","2","",""
"8","A&J Land Surveyor","0.65","HIGH","STANDARD","USA","Construction & Infrastructure","1","",""
"9","West Midlands' water company","0.65","HIGH","STANDARD","UK","","1","",""
"10","Toledo police","0.65","HIGH","STANDARD","USA","Public Safety & Emergency Response","1","",""
"11","Cincinnati police","0.65","HIGH","STANDARD","USA","Public Safety & Emergency Response","1","",""
"12","Amber Wings","0.40","MEDIUM","STANDARD","India","Public Safety & Emergency Response","1","",""
"13","Garuda Aerospace","0.40","MEDIUM","STANDARD","India","Public Safety & Emergency Response","1","",""
"14","Marut Dronetech","0.40","MEDIUM","STANDARD","India","Public Safety & Emergency Response","1","",""
"15","Terra Drone","0.40","MEDIUM","STANDARD","Chile","Unknown","1","",""
"16","Grubhub","0.40","MEDIUM","STANDARD","US","","1","",""
"17","Wonder","0.40","MEDIUM","STANDARD","US","","1","",""
"18","Connolly Hospital","0.40","MEDIUM","STANDARD","Ireland","","1","",""
"19","Anji County","0.40","MEDIUM","STANDARD","China","","1","",""
"20","Austintown Fire Department","0.40","MEDIUM","STANDARD","US","","1","",""
