company_name,country,role,dock_models,dock_count,website,linkedin_url,evidence_url_1,source_type_1,evidence_url_2,source_type_2,confidence,notes
Sensorem Pty Ltd,Australia,System Integrator,"Dock 1, Dock 2",20+,https://sensorem.com.au,,https://flytbase.com/sensorem-case-study,DJI Case Study,https://sensorem.com.au/autonomous-drones,Company Website,High,"Pioneer in autonomous DJI Dock deployments in Australia; developed SensHub solution integrating DJI Dock with FlytBase AI-R; deployed 20+ Dock units across remote industrial sites; completed 11000+ BVLOS missions; partner of Rio Tinto and CBH Group"
RocketDNA (AU) Pty Ltd,Australia,System Integrator,"Dock 1, Dock 2",Unknown,https://rocketdna.com,,https://rocketdna.com/xbot-drone-in-a-box,Company Website,https://coreinnovationhot30.com.au/rocketdna,Industry Article,High,"First Australian company to receive CASA approval for DJI Dock autonomous BVLOS operations (August 2023); operates xBot drone-in-a-box solution; Remote Operating Centre in Perth WA; deployed at Rio Tinto Gudai-Darri mine"
Rio Tinto,Australia,Enterprise End-User,Dock 1,Unknown,https://riotinto.com,,https://enterprise-insights.dji.com/blog/automated-mining-workflow-dji-dock,DJI Case Study,https://rocketdna.com/rio-tinto-case-study,Industry Article,High,"Deployed DJI Dock at Gudai-Darri iron ore mine in Pilbara WA via RocketDNA partnership; used for post-blast surveys stockpile volumetrics pit wall inspections; operates in extreme heat up to 50C"
Norton Gold Fields (Paddington Operations),Australia,Enterprise End-User,Dock 1,Unknown,https://www.nortongoldfields.com.au,,https://enterprise-insights.dji.com/blog/automated-mining-workflow-dji-dock,DJI Case Study,https://www.prnewswire.com/news-releases/dji-enterprise-white-paper-automated-mining-workflow,Industry Article,High,"Featured in DJI Enterprise white paper on automated mining workflows; DJI Dock deployed at Paddington Operations near Kalgoorlie WA for post-blast muckpile surveys and AI-driven grade control"
Sphere Drones (Sydney) Pty Ltd,Australia,System Integrator,"Dock 2, Dock 3",Unknown,https://spheredrones.com.au,,https://spheredrones.com.au/products/dji-dock-3,Company Website,https://dronedj.com/sphere-drones-hubx-in-house-manufacturing,Industry Article,High,"Authorized DJI Enterprise partner; developed HubX and HubT drone-in-a-box platforms using DJI Dock technology; involved in WA Police DFR trial; moved to in-house manufacturing for HubX in March 2025"
C.R. Kennedy & Company Pty Ltd,Australia,Authorized Dealer,"Dock 1, Dock 2, Dock 3",Unknown,https://crkennedy.com.au,,https://survey.crkennedy.com.au/products/dji-dock-3,Company Website,https://crkennedy.com.au/geospatial/dji-enterprise,Company Website,High,"Major Australian DJI Enterprise distributor; official stockist of DJI Dock 1 2 and 3; Geospatial Solutions division provides specialized support for enterprise drone platforms"
D1 Store (D1 Enterprise),Australia,Authorized Dealer,"Dock 1, Dock 2, Dock 3",Unknown,https://d1store.com.au,,https://d1store.com.au/collections/dji-dock,Company Website,https://d1store.com.au/products/dji-dock-3,Company Website,High,"Authorized DJI Dock partner with Enterprise Hubs across VIC NSW QLD and WA; offers consultation demos delivery training and maintenance for all DJI Dock models"
EE Group (Australia),Australia,Distributor,"Dock 1, Dock 2, Dock 3",Unknown,https://eegroup.com.au,,https://eegroup.com.au/brands/dji-enterprise,Company Website,https://accc.gov.au/media-release/ee-group-undertaking,Government Record,High,"Authorized DJI Enterprise distributor in Australia; supplies DJI Dock systems to independent resellers nationwide; offices in VIC and NSW; subject of ACCC RPM undertaking Dec 2025"
Prisma Technologies (Prismatech),Australia,Authorized Dealer,"Dock 1, Dock 2, Dock 3",Unknown,https://prismatech.com.au,,https://prismatech.com.au/dji-dock-2,Company Website,https://prismatech.com.au/bvlos-autonomous-drone-solutions,Company Website,High,"DJI Certified Dock 2 Partner and DJI Authorised Enterprise Maintenance and Service Centre; provides end-to-end support including BVLOS approvals custom AI/ML integrations; located at iAccelerate Centre North Wollongong NSW"
Green Sky Group,Australia,Authorized Dealer,Dock 2,Unknown,https://greenskygroup.com.au,,https://greenskygroup.com.au/products/dji-dock-2,Company Website,,,,Medium,"CASA-certified and fully insured DJI Enterprise Dealer; lists DJI Dock 2 and Matrice 3D/3TD combos for sale; provides expert support for enterprise autonomous drone solutions"
Drones for Hire,Australia,Authorized Dealer,"Dock 2, Dock 3",Unknown,https://dronesforhire.com.au,,https://dronesforhire.com.au/products/dji-dock-2,Company Website,,,,Medium,"Major Australian drone marketplace and authorized DJI dealer; lists DJI Dock 2 and Dock 3 for sale; provides consultation setup and support packages"
Hover UAV Pty Ltd,Australia,Software Platform,"Dock 1, Dock 2",Unknown,https://hoveruav.com.au,,https://enterprise-insights.dji.com/blog/bvlos-australia-hover-uav,DJI Case Study,https://hoveruav.com.au/services,Company Website,High,"Drone consultancy specializing in BVLOS regulatory approvals for DJI Dock deployments; collaborates with DJI Enterprise on webinars and education for Australian industries; assists with CASA approvals risk assessments and compliance"
AppVision Australia Pty Ltd,Australia,Reseller,"Dock 1, Dock 2",Unknown,https://appvision.com.au,,https://appvision.com.au/products/dji-dock-2,Company Website,,,,Medium,"Authorized Australian retailer of DJI enterprise solutions including DJI Dock and Dock 2; located in Hornsby NSW"
