company_name,country,role,dock_models,dock_count,website,linkedin_url,evidence_url_1,source_type_1,evidence_url_2,source_type_2,confidence,notes
Africa Drone Kings,South Africa,"Authorized Dealer, System Integrator, DFR Service Provider","Dock, Dock 2, Dock 3",multiple,https://africadroneking.co.za/,https://za.linkedin.com/company/africa-drone-kings-pty-ltd,https://africadroneking.co.za/product/dji-dock-3/,Product Page,https://africadroneking.co.za/blog/2026/03/15/drone-as-first-responder-south-africa-dji-dock-3/,Blog,High,"Johannesburg-based dealer offering site planning, installation, training, lifetime support. Works with security, mining, estates. Address: First House, 258 Main Ave, Ferndale, Randburg, 2194. Phone: 011 824 0678"
Africa Drone Kings Western Cape,South Africa,Authorized Dealer,Dock 3,multiple,https://africadronekingswc.co.za/,https://www.instagram.com/adkwc/,https://africadronekingswc.co.za/collections/dji-dock-3,Product Page,https://www.instagram.com/adkwc/,Social Media,High,"Cape Town location. Phone: 021 020 2603. Email: cape@africadronekings.co.za"
Afri Air (aadrones.co.za),South Africa,"Authorized Dealer, Distributor","Dock 2, Dock 3",multiple,https://aadrones.co.za/,Not found,https://aadrones.co.za/product/dji-dock-3/,Product Page,https://aadrones.co.za/product/dji-dock-2/,Product Page,High,"Licensed DJI distributor. Specializes in agricultural applications. Located in Ermelo. Offers Dock 3 with 47-minute flight time, 25km range for farms."
GoUAV,South Africa,"Authorized Dealer, Distributor, Value-Added Reseller","Dock, Dock 2, Dock 3",multiple,https://gouav.co.za/,Not found,https://gouav.co.za/,Dealer Homepage,https://gouav.co.za/pages/authorised-dji-dealer,Authorized Dealer Page,High,"Authorized South African DJI Enterprise Distributor. Subsidiary of TeleEye (South Africa). Offers Dock 3 with M4D and M4TD. Phone: +27 11 557 9200"
HDRT (Hennie's Drones),South Africa,"Authorized Dealer, System Integrator, DFR Service Provider",Dock 2,multiple,https://www.hdrt.co.za/,Not found,https://www.hdrt.co.za/dji-dock-2,DJI Dock 2 Page,https://www.flytbase.com/blog/flytbase-and-hdrt,FlytBase Partnership,High,"DJI-accredited reseller and certified repair center. One of few SA dealers with 2 DJI Dock engineers. Partnership with FlytBase for security operations. Works with 24-7 Drone Force. Est. 2018 by Hennie Deetlefs."
24-7 Drone Force,South Africa,Enterprise End-User (Security),Dock,1+,https://24-7droneforce.co.za/,Not found,https://www.flytbase.com/case-studies/24-7-drone-force-residential-estate-security-docks-south-africa,FlytBase Case Study,https://www.securityfocusafrica.com/2025/01/28/24-7-drone-force/,News Article,High,"Premier security provider with 3,500 security officers. Operates DJI Dock for residential estate perimeter security. Regulatory approval from SACAA (Agridrone Pty Ltd t/a 24/7 Drone Force). First security industry docked drone solution in SA."
RocketDNA,South Africa,"Enterprise End-User, System Integrator","Dock 2, Dock 3",1+,https://www.rocketdna.com/,https://za.linkedin.com/company/rocketdnaltd,https://dronenews.africa/rocketdna-obtains-licence-to-operate-dji-dock-in-south-africa/,Dronenews.africa,https://www.engineeringnews.co.za/article/xbot-transforming-remote-operations-across-industries-with-unmatched-precision-2025-03-28,Engineering News,High,"First company in SA to receive SACAA approval for Remote UAS Docking Stations with BVLOS capability. Originally founded as Rocketmine in SA (2013). Uses for mining theft prevention and agriculture. Works with FlytBase."
FlytBase,South Africa,Software Platform,Dock 2,N/A,https://www.flytbase.com/,Not found,https://www.flytbase.com/blog/flytbase-and-hdrt,HDRT Partnership,https://www.flytbase.com/dji-dock,DJI Dock Page,High,"Drone autonomy software platform partnered with HDRT. Enables integration with CCTV, sensors, alarms, access control. Supports FlightHub 2 operations. Multiple SA deployments documented."
Metagrated,South Africa,System Integrator,Dock,1+,Not found,Not found,https://www.flytbase.com/case-studies/24-7-drone-force-residential-estate-security-docks-south-africa,FlytBase Case Study,Not found,N/A,Medium,"Integrated DJI Dock with FlytBase for 24-7 Drone Force. Works on AI-enhanced threat detection. Director: Michael Lever. Exploring applications in mining, agriculture, commercial property."
Optron,South Africa,Distributor,Dock 3,multiple,https://optron.com/dji/,Not found,https://optron.com/dji/dji-enterprise-solutions/dji-drones/,DJI Enterprise Page,https://optron.com/dji/wp-content/uploads/2025/05/DS_DJI-Dock-3.pdf,DJI Dock 3 Spec Sheet,High,"Official DJI Enterprise dealer for African region. Offers full DJI Enterprise drone range. Address: Lakefield Office Park (Building C). Phone: +27 12 683 4500"
EDSSA,South Africa,Distributor,Dock,multiple,https://edssa.co.za/,Not found,https://edssa.co.za/our-drones/,Products Page,Not found,N/A,Medium,"Authorised DJI retailer. Offers Matrice 30 Dock version with wireless charging and rain/wind sensor. Provides courier repairs and warranty support across SA."
Bidvest UDS,South Africa,Enterprise End-User,"Dock, Dock 2",multiple,https://www.bidvest.co.za/,Not found,https://dronenews.africa/drones-and-security-applications-bidvest-uds/,Dronenews.africa,Not found,N/A,Medium,"Part of Bidvest Group (joined 2019). UAV integrator established 2013. Fleet of ~400 drones. Serves government, SOEs, mining, industrial facilities. Uses Dock for automated security surveillance with FlytBase integration."
Sun City,South Africa,Enterprise End-User,Dock 3,1,Not found,Not found,https://africadroneking.co.za/blog/2026/03/15/drone-as-first-responder-south-africa-dji-dock-3/,Africa Drone Kings Blog,Not found,N/A,Medium,"First AeroGuard (DJI Dock 3 security solution) installation in North West province. Large resort/entertainment property deploying DJI Dock 3 for DFR capabilities."
