#,Priority Tier,Company,Score,Region,Industry,Website,HQ / Office Location,LinkedIn URL,LinkedIn Followers,Partnership Priority Score,Scoring Notes
1,🔴 HOT,Flock Safety,0.75,—,Perimeter Security & Smart Facilities,https://www.flocksafety.com,"Atlanta, Georgia, USA",https://www.linkedin.com/company/flock-,"~92,000",85,"High followers (92K), Americas HQ, Deployment signal, Security industry, Commercial DSP"
2,🔴 HOT,Volatus Aerospace Inc.,0.75,North America,Energy & Utilities,https://volatusaerospace.com,"Mirabel, Quebec, Canada",https://ca.linkedin.com/company/volatus-aerospace,"~16,700",78,"Good followers (16.7K), Americas HQ, Contract signal, Energy industry, Commercial DSP"
6,🔴 HOT,National Police Air Service (NPAS),0.65,UK,Public Safety & Emergency Response,https://www.npas.police.uk,"Wakefield, West Yorkshire, UK",https://uk.linkedin.com/company/national-police-air-service,"~5,600",72,"Moderate followers (5.6K), Europe HQ, Deployment signal, Public Safety, Gov agency"
15,🔴 HOT,Garuda Aerospace,0.4,India,Public Safety & Emergency Response,https://www.garudaaerospace.com,"Chennai, Tamil Nadu, India",https://in.linkedin.com/company/garuda-aerospace-private-limited,"~138,000",70,"High followers (138K), India HQ, Deployment signal, Public Safety, Large drone co."
16,🔴 HOT,Marut Dronetech,0.4,India,Public Safety & Emergency Response,https://marutdrones.com,"Hyderabad, Telangana, India",https://in.linkedin.com/company/marutdrones,"~25,500",65,"Good followers (25.5K), India HQ, Deployment signal, Public Safety, Commercial DSP"
22,🔴 HOT,AERONEX (Aeronex FZCO),,China / UAE,Deployment & Expansion,https://www.aeronex.ae,"Dubai, UAE",https://ae.linkedin.com/company/aeronex-fzco,"~4,300",75,"Moderate followers (4.3K), ME HQ, Deployment/Expansion signal, DJI master reseller ME"
23,🔴 HOT,SkyBound,,UK,Expansion,https://www.skybound.tech,"Southampton, UK",https://uk.linkedin.com/company/skyboundtech,"~3,600",78,"Good followers (3.6K), Europe HQ, Expansion signal, Infrastructure/Public Safety, Tech platform"
25,🔴 HOT,24/7 Drone Force,,South Africa,Public Safety & Emergency Response,https://24-7droneforce.co.za,"Sandton, Gauteng, South Africa",https://za.linkedin.com/company/24-7-drone-force,"~5,600",68,"Good followers (5.6K), Africa HQ, Deployment signal, Security, Commercial DSP"
28,🔴 HOT,Terra Drone Arabia,,Saudi Arabia,Deployment,https://terra-drone.com.sa,"Al Khobar, Saudi Arabia",https://sa.linkedin.com/company/terra-drone-sa,"~4,700",65,"Moderate followers (4.7K), ME HQ, Deployment signal, Oil & Gas/Infra, Terra Drone subsidiary"
36,🔴 HOT,Team UAV,,UK,Other,https://www.teamuav.uk,"Bromsgrove, Worcestershire, UK",https://uk.linkedin.com/company/teamuav,"~8,200",72,"Good followers (8.2K), Europe HQ, Other signal, Infrastructure/Inspection, Established UK DSP"
40,🔴 HOT,FDNY,,USA,Other,https://www.nyc.gov/fdny,"New York City, NY, USA",https://www.linkedin.com/company/new-york-city-fire-department,"~42,500",70,"High followers (42.5K), Americas HQ, Other signal, Public Safety, Largest fire dept USA"
