name,country,city,role,sources,dock_models,comet_confidence,google_score,website,linkedin_url,domain,notes
"Escadrone",FR,,system integrator,dji_dealer + google_search + comet,"Dock 1, Dock 2",medium,77,https://escadrone.com,https://www.linkedin.com/company/escadrone,escadrone.com,"Sales & integration for automated surveillance/inspection. Listed as authorized DJI Enterprise dealer for Dock 2."
"Flying Eye",FR,"Biot (Sophia Antipolis)",solution provider,dji_dealer + google_search + comet,"Dock 1, Dock 2, Dock 3",high,,https://www.flyingeye.fr,https://www.linkedin.com/company/flyingeye,flyingeye.fr,"DJI-recognised Dock 2 Flysafe kit in ecosystem catalogue. Dock demo events and webinars confirmed."
"La Camera Embarquée (NETPIX)",FR,,solution provider,dji_dealer + google_search + comet,Dock 2,,,https://www.lacameraembarquee.fr,https://www.linkedin.com/company/la-camera-embarquee,lacameraembarquee.fr,"Dock 2 with Matrice 3D as turnkey autonomous station for automated missions up to 10km radius."
"StudioSport",FR,,dealer,google_search + comet,"Dock 1, Dock 2, Dock 3",,,https://www.studiosport.fr,https://www.linkedin.com/company/studiosport,studiosport.fr,"Revendeur DJI N°1 en France. Markets Dock stations for automated industrial, surveillance and emergency missions."
"ABOT",FR,,system integrator,dji_dealer + comet + deep_research,"Dock 1, Dock 2, Dock 3",medium,,https://www.abot.fr,https://www.linkedin.com/company/abot-fr,abot.fr,"Brands itself as 'votre expert drone autonome' around DJI Dock 2. SORA support and end-to-end assistance."
"Geomesure",FR,,solution provider,dji_dealer + comet,Dock 2,low,,https://www.geomesure.fr,https://www.linkedin.com/company/geomesure,geomesure.fr,"Authorized DJI Enterprise dealer for Dock 2. Specific services not publicly detailed."
"Instadrone",FR,,solution provider,google_search + comet,Dock 2,low,,https://www.instadrone.com,https://www.linkedin.com/company/instadrone,instadrone.com,"Co-hosted Dock 2 webinar with Flying Eye. Early-stage/marketing evidence."
"DJI Paris (Boutique)",FR,Paris,dealer,google_search + comet,"Dock 1, Dock 2, Dock 3",,73,https://boutique.dji-paris.com,,boutique.dji-paris.com,"Official DJI retail store in France. Dock bundles for automated inspection and surveillance."
"Powerloop",FR,,solution provider,comet,Dock 3,,,https://www.powerloop.fr,,powerloop.fr,"Promoting Dock 3 as 24/7 autonomous solution. Fixed and vehicle-mounted deployments for security, inspection, emergency."
"i-TechGroup (i-Techdrone)",FR,"Assat / Pau (Nouvelle-Aquitaine)",operator,deep_research,Dock 1,high,,,,i-techdrone.com,"Claims first in France to test/adapt DJI Dock (2023). Industrial surveillance, topography, environment."
"EPC France (EPC Groupe)",FR,"Vignats (Normandy)",operator,deep_research,Dock 2,medium,,,,epc-groupe.com,"Dock 2 test at Vignats quarry for routine mapping and monitoring. Treat as tested, not long-term deployed."
"Prodrones",FR,,dealer,dji_dealer + google_search,,,,,https://www.prodrones.fr,https://www.linkedin.com/company/pro-drones,prodrones.fr,"DJI Dock 2 product page found via Google."
"STTL",FR,,dealer,dji_dealer,,,,https://www.sttl-topographie.com/,https://www.linkedin.com/company/sttl,sttl-topographie.com,
"Dumont Securite",FR,,dealer,dji_dealer,,,,https://www.dumont-securite.fr/,https://www.linkedin.com/company/dumont-securite,dumont-securite.fr,
"Rivolier",FR,,dealer,dji_dealer,,,,https://www.rivolier-sd.com/,https://www.linkedin.com/company/rivolier-sas,rivolier-sd.com,
"Capture Solutions",FR,,dealer,dji_dealer,,,,https://www.capture-solutions.fr/,https://www.linkedin.com/company/capture-solution123,capture-solutions.fr,
"Protec Security Systems",FR,,dealer,dji_dealer,,,,https://www.protecsecuritysystems.fr/,https://www.linkedin.com/company/security-systems-by-protec,protecsecuritysystems.fr,
"Voltaneo",FR,,dealer,dji_dealer,,,,https://www.voltaneo.com,https://www.linkedin.com/company/voltaneo,voltaneo.com,
"DroneLand (Dutch Drone Group)",NL,,system integrator,dji_dealer + google_search + comet + deep_research,"Dock 1, Dock 2, Dock 3",high,89,https://www.droneland.nl,https://www.linkedin.com/company/droneland,droneland.nl,"First Dock 2 in Benelux. Developed mobile Pick-Hub with two Dock 3 units. Benelux distribution, installation, support."
"Drone Class B.V.",NL,Duiven,operator,google_search + comet + deep_research,Dock 1,medium,100,https://www.eudronebewijs.nl,https://www.linkedin.com/company/drone-class,eudronebewijs.nl,"First DJI Dock operational in Netherlands (Aug 2023). Training and consultancy for BVLOS/remote-ops."
"AirHub B.V.",NL,,solution provider,google_search + comet + deep_research,"Dock 1, Dock 2, Dock 3",high,89,https://www.airhub.app,https://www.linkedin.com/company/airhub,airhub.app,"DJI ecosystem listed. Drone operations platform with Dock 2/3 integration, compliance packages, mission management."
"Dronebotics",NL,,solution provider,google_search + comet,Dock 2,,100,https://nl.dronebotics.nl,https://www.linkedin.com/company/dronebotics,dronebotics.nl,"Dock 2 as part of drone-in-a-box security solution. Dronebotics Commando Centrum API."
