company_name,country,role,dock_models,dock_count,website,linkedin_url,evidence_url_1,source_type_1,evidence_url_2,source_type_2,confidence,notes
RocketDNA Ltd,AU,Enterprise End-User,Dock 2 + Dock 3,Multiple,https://www.rocketdna.com,https://au.linkedin.com/company/rocketdnaltd,https://www.rocketdna.com/au/blog/six-applications-for-the-dji-dock-2-in-mining-operations,Company Website,https://enterprise-insights.dji.com/scalable-dock-operations-in-mining,DJI Case Study,High,"ASX-listed company; first Australian CASA-approved DJI Dock operator; deployed at Rio Tinto Gudai-Darri mine and Calidus Resources (now West Coast Gold) Warrawoona Project; 8000+ flights completed; operates remote operations centers in Perth and Adelaide"
Sensorem Pty Ltd,AU,Enterprise End-User,Dock 1 + Dock 2,20+,https://sensorem.com.au,https://au.linkedin.com/company/sensorem-pty-ltd,https://sensorem.com.au/about/technology/dji-docks/,Company Website,https://www.flytbase.com/case-studies/sensorem-autonomous-docked-drones-deployment-australia,DJI Case Study,High,"First Australian company to deploy DJI Dock; deployed 20+ autonomous docked systems across Western Australian industrial sites; partnered with CBH (Co-operative Bulk Handling) for grain facility bird deterrence; 2500+ BVLOS flights in first 4 months; plans to scale to 50 systems by end of 2025"
Sphere Drones,AU,System Integrator,Dock 2 + Dock 3,Multiple,https://www.spheredrones.com.au,https://au.linkedin.com/company/spheredrones,https://www.spheredrones.com.au/products/hubt,Company Website,https://dronedj.com/2025/03/11/sphere-hubx-dji-dock-3/,Industry Article,High,"Largest Australian drone service provider; developed HubT and HubX platforms leveraging DJI Dock 2 and Dock 3; partnered with Carasel for in-house manufacturing in Sydney; among first to test Dock 3; launched HubX on DJI Enterprise Ecosystem"
StevTech,AU,Enterprise End-User,Dock 2 + Dock 3,Multiple,https://stevtech.com.au,N/A,https://stevtech.com.au/equipment/dji-dock-3,Company Website,https://stevtech.com.au/services/drone-tech/docking-systems/dji-dock-2,Company Website,High,"Leading agricultural AI and drone technology specialist; uses DJI Dock 3 for autonomous orchard monitoring with scheduled flights; GRDC-aligned; also offers proprietary StevTech DBX (custom drone-in-a-box); trusted by CSIRO and research organizations"
D1 Store,AU,Authorized Dealer,Dock 1 + Dock 2 + Dock 3,Unknown,https://www.d1store.com.au,N/A,https://www.d1store.com.au/categories/dji-dock,Company Website,https://www.d1store.com.au/stores.php,Company Website,High,"Australia's first and only DJI Authorised Retail Store; nationwide locations in Melbourne, Sydney, Brisbane, and Perth; stocks all DJI Dock models"
EE Group Australia Pty Ltd,AU,Distributor,Dock 1 + Dock 2 + Dock 3,Unknown,https://www.eegroup.com.au,https://au.linkedin.com/company/ee-group-australia-ee-hobbies-australia-pty-ltd,https://www.eegroup.com.au/enterprise-dji-dock,Company Website,https://www.eegroup.com.au/dji-dock-3,Company Website,High,"100% authorized DJI Enterprise distributor in Australia; based in Melbourne; provides DJI Dock solutions with FlightHub 2 integration; distributes all Dock models"
Prisma Tech,AU,System Integrator,Dock 1 + Dock 2 + Dock 3,Unknown,https://prismatech.com.au,N/A,https://prismatech.com.au/commercial-drone-products/dji-dock-systems,Company Website,https://prismatech.com.au/dji-dock-3-solutions,Company Website,High,"Based in Wollongong NSW; claims to be #1 DJI Dock 3 integrator in Australia; provides custom AI/ML solutions for defect detection and analytics; comprehensive support and training services"
AgDrone.au,AU,Reseller,Dock 3,Unknown,https://agdrone.au,N/A,https://agdrone.au/products/dji-dock-3,Company Website,https://agdrone.au/products/dji-dock-3-combo-thermal-inspection,Company Website,High,"Agricultural drone specialist; stocks DJI Dock 3 with thermal inspection combo options; offers AgDock Trailer System for mobile deployment; supports orchard monitoring applications"
AirInspect Australia,AU,System Integrator,Dock 2,Unknown,https://airinspect.com.au,N/A,https://airinspect.com.au/drone-in-a-box-the-dji-matrice-3d-3td/,Company Website,https://airinspect.com.au/blog/,Company Website,Medium,"End-to-end spatial data solutions provider; focuses on inspection, surveying, and mapping; offers DJI Dock 2 solutions for surveying, inspections, asset management, and security"
Droneland Australia,AU,Reseller,Dock 2,Unknown,https://www.droneland.au,https://au.linkedin.com/company/droneland-australia,https://www.droneland.au/dock2,Company Website,https://www.droneland.au/product-page/dji-matrice-3d,Company Website,Medium,"Australian drone retail; developing DJI Dock 2 application in Deniliquin NSW for rice farm bird deterrence; supports BVLOS operations"
UASys Australia,AU,Reseller,Dock 2,Unknown,https://uasys.com.au,N/A,https://uasys.com.au/product/dji-dock-2/,Company Website,https://uasys.com.au/product/dji-matrice-3d/,Company Website,Medium,"Australian UAS retailer; offers DJI Dock 2 with FlytBase integration and FlightHub 2 compatibility; supports Australian drone regulations"
Camzilla,AU,Authorized Retailer,Dock 2,Unknown,https://www.camzilla.com.au,N/A,https://www.camzilla.com.au/dji-dock-2,Company Website,https://www.camzilla.com.au/about-us/,Company Website,Medium,"DJI Authorised Australian Retailer and Repair Centre; located in Roseville NSW; operating since 2009"
C.R. Kennedy Geospatial Solutions,AU,Distributor,Dock 1 + Dock 2 + Dock 3,Unknown,https://survey.crkennedy.com.au,N/A,https://survey.crkennedy.com.au/rpas-uav-drones/commercial-drones/DJI_Dock,Company Website,https://survey.crkennedy.com.au/products/djidock3/dji-dock-3--excludes-matrice-4d-4td-,Company Website,High,"National positioning partner with head office in Melbourne and branches across Australia; official stockists of all DJI Dock models; online shopping with free shipping"
Drones For Hire,AU,Reseller,Dock 1 + Dock 2 + Dock 3,Unknown,https://dronesforhire.com.au,N/A,https://dronesforhire.com.au/shop/drone/DJI-Dock,Company Website,https://dronesforhire.com.au/shop/drone/DJI-Dock-3,Company Website,High,"Australia's largest discount drone store; stocks all DJI Dock models; price match guarantee; operates nationwide"
AppVision Australia,AU,Distributor,Dock 1 + Dock 2,Unknown,https://appvision.com.au,N/A,https://appvision.com.au/index.php?id_product=991&rewrite=dji-matrice-350-rtk&controller=product,Company Website,https://appvision.com.au/index.php?id_product=992&rewrite=dji-matrice-350-rtk&controller=product,Company Website,Medium,"Official DJI Enterprise Dealer; stocks DJI Dock models; contact: Chi Xu 0405 116 240 or chi.xu@appvision.com.au"
Falcon UAV,AU,Reseller,Dock 2 + Dock 3,Unknown,https://falconuav.com.au,N/A,https://falconuav.com.au/dji-dock-3/,Company Website,https://falconuav.com.au/dji-dock-2/,Company Website,Medium,"Certified DJI regional partner serving Commercial and Defence industries; stocks both Dock 2 and Dock 3; provides drones and photogrammetry software"
Drone Shop Perth,AU,Reseller,Dock 2 + Dock 3,Unknown,https://droneshopperth.com.au,N/A,https://droneshopperth.com.au/product/dji-dock-set-2-includes-dji-dock-bundle-for-m30t/,Company Website,https://droneshopperth.com.au/product-category/dji-dock/,Company Website,Medium,"Located in Bayswater WA; premier DJI retailer; stocks DJI Dock Series 2 and 3; operated since 1982"
Australian Agricultural Drones,AU,Reseller,Dock 3,Unknown,https://www.ausagdrones.com.au,N/A,https://www.ausagdrones.com.au/product-page/dji-dock-3-automated-drone-hanger,Company Website,https://www.ausagdrones.com.au/product-page/dji-dock-3-for-sale,Company Website,Medium,"Brisbane-based agricultural drone specialist; stocks DJI Dock 3; supports farming operations and precision agriculture applications"
Rio Tinto (Gudai-Darri),AU,Enterprise End-User,Dock 2,Unknown,https://www.riotinto.com,N/A,https://www.rocketdna.com/project/xbot-deployment-to-rio-tinto-gudai-darri-mine-site,DJI Case Study,https://www.dji.com/media-center/media-coverage/dji-releases-mining-automation-white-paper-with-australian-case,Industry Article,High,"Major mining company; deployed DJI Dock 2 via RocketDNA at flagship Gudai-Darri iron ore mine in Pilbara WA; operates in extreme heat (50°C), dust, and cyclone-prone conditions; achieved 60% survey time reduction and 94% data processing savings"
Calidus Resources / West Coast Gold (Warrawoona Project),AU,Enterprise End-User,Dock 2,Unknown,https://www.calidus.com.au,https://au.linkedin.com/company/calidusresourceslimited,https://im-mining.com/2024/03/28/rocketdna-ltd-seals-first-autonomous-xbot-contract-with-calidus-resources-subsidiary/,Industry Article,https://www.rocketdna.com/project/xbot-deployment-to-rio-tinto-gudai-darri-mine-site,DJI Case Study,Medium,"ASX-listed gold mining company (now West Coast Gold after administration); deployed DJI Dock via RocketDNA at Warrawoona Project Blue Bar pit near Marble Bar WA; three-year contract for autonomous surveying and stockpile management"
CBH (Co-operative Bulk Handling),AU,Enterprise End-User,Dock 1,Unknown,https://www.cbh.com.au,N/A,https://sensorem.com.au/projects/drone-in-a-box-grain-storage-facilities/,Company Website,https://enterprise-insights.dji.com/industrial-grain-handling-site-management,DJI Case Study,High,"Western Australian grain co-operative; partnered with Sensorem for DJI Dock 1 bird deterrence at multiple grain storage facilities across WA Wheatbelt; 2500+ BVLOS flights in first 4 months; significant cost savings and bird damage reduction"
NSW Police (PolAir-Remote),AU,Government End-User,Dock 2 or 3,2,https://www.police.nsw.gov.au,N/A,https://enterprise-insights.dji.com/dock-applications-australia-webinar,DJI Case Study,https://interestingengineering.com/innovation/australian-police-test-station-based-drones,Industry Article,High,"NSW Police deployment at Moree station (pilot site); Australian first policing aviation capability; two drones mounted on rooftop docking unit; remotely piloted from Sydney ROC ~370 miles away; fully automated system for emergency response and search-and-rescue; first deployment January 2026"
Carasel,AU,Manufacturing Partner,Dock 2 + Dock 3,Unknown,N/A,N/A,https://www.australianmanufacturing.com.au/sphere-expands-in-house-manufacturing-to-accelerate-hubx-devt/,Industry Article,https://dronedj.com/2025/03/11/sphere-hubx-dji-dock-3/,Industry Article,Medium,"Sydney-based manufacturing partner with Sphere Drones; precision sheet metal fabrication, robotic machining, powder coating; produces HubX and HubT platforms for Dock 2 and Dock 3; among first to test Dock 3"
