company_name,country,role,dock_models,dock_count,website,linkedin_url,evidence_url_1,source_type_1,evidence_url_2,source_type_2,confidence,notes,source,source_count
C.R. Kennedy Geospatial Solutions,Australia,Distributor,Dock 1; Dock 2; Dock 3,Unknown,https://survey.crkennedy.com.au,https://www.linkedin.com/company/c-r-kennedy/,https://survey.crkennedy.com.au/rpas-uav-drones/commercial-drones/DJI_Dock,Company Website,https://www.youtube.com/playlist?list=PLBU51qNSczwtgZwhI5B5_OIOKEbklAY5x,Social Media Post,High,National geospatial distributor and official stockist of DJI Dock products including DJI Dock 2 and Dock-related Matrice 3D accessories for Australian customers.,Comet | Claude | ChatGPT,3
D1 Store,Australia,Authorized Dealer,Dock 1; Dock 2; Dock 3,Unknown,https://www.d1store.com.au,https://www.linkedin.com/company/d1-store/,https://www.d1store.com.au/mobile/category/dji-dock,Company Website,https://staging.d1apps.sapautomate.com,Company Website,High,Official DJI Authorised Retail Store for Australia listing DJI Dock products including DJI Dock 3 for local enterprise and agriculture customers.,Comet | Claude | ChatGPT,3
Prisma Technologies (PrismaTech),Australia,System Integrator,Dock 1; Dock 2; Dock 3,Unknown,https://prismatech.com.au,https://www.linkedin.com/company/prismatech-au/,https://prismatech.com.au/commercial-drone-products/p/dji-dock-2-matrice-3td,Company Website,https://prismatech.com.au/commercial-drone-products/p/dji-dock-3-matrice-4td-bundle,Company Website,High,Australian commercial drone supplier offering DJI Dock 2 with Matrice 3TD and DJI Dock 3 with Matrice 4TD bundles for 24/7 inspection and security operations.,Comet | Claude | ChatGPT,3
Sphere Drones,Australia,System Integrator,Dock 2; Dock 3,Multiple,https://www.spheredrones.com.au,https://www.linkedin.com/company/sphere-drones/,https://www.spheredrones.com.au/products/dji-dock-2,Company Website,https://dronedj.com/2024/05/15/sphere-drones-hubt-dji-dock/,Industry Article,High,Enterprise drone solutions provider offering DJI Dock 2 systems and HubT/HubX drone-in-a-box platforms built around DJI Dock 2 for BVLOS operations in Australia.,Comet | Claude | ChatGPT,3
DroneDireto,Brazil,Reseller,Dock 2; Dock 3,Multiple,https://www.dronedireto.com.br,https://www.linkedin.com/company/dronedireto/,https://www.dronedireto.com.br/dji-dock-3-drone-dji-matrice-4td-carregador-1x-bateria-controle-dji-rc-plus-2-homologado-na-anatel/p,Company Website,https://www.dronedireto.com.br/7e99v8t6v-dji-matrice-3dt-com-dock-2-e-3-baterias,E-Commerce,High,Longstanding Brazilian drone reseller offering DJI Dock 3 + Matrice 4TD bundles with ANATEL homologation and FlightHub 2 software included. ,Comet | Claude | ChatGPT,3
Candrone,Canada,Authorized Dealer,Dock 2; Dock 3,Multiple,https://candrone.com,https://www.linkedin.com/company/candrone/,https://candrone.com/collections/buy-dji-dock-2-in-north-america,Company Website,https://candrone.com/blogs/news/dji-dock-2,Industry Article,High,"North American DJI Dock 2 Authorized dealer headquartered in Canada; officially certified by DJI Enterprise to sell, install, and support Dock 2 across USA and Canada. ",Comet | Claude | ChatGPT,3
DroneX Canada,Canada,Reseller,Dock 1; Dock 2,Multiple,https://dronexcanada.ca,https://www.linkedin.com/company/dronex-canada/,https://dronexcanada.ca/products/dji-dock,Company Website,https://dronedj.com/guides/dji-dock-2/,Industry News,High,Canadian drone retailer selling DJI Dock 2 with detailed specs and service plan options for unattended operations. ,Comet | Claude | ChatGPT,3
Measur Drones,Canada,System Integrator,Dock 2; Dock 3,Multiple,https://measur.ca,https://www.linkedin.com/company/measur-drones/,https://measur.ca/products/dji-dock-3,Company Website,https://measur.ca/collections/dji,Company Website,High,Canadian DJI Enterprise supplier offering DJI Dock 3 across multiple Canadian locations for 24/7 autonomous operations. ,Comet | Claude | ChatGPT,3
Volatus Drones Canada,Canada,System Integrator,Dock 2; Dock 3,Multiple,https://volatusdrones.ca,https://www.linkedin.com/company/volatus-aerospace/,https://volatusdrones.ca/products/dji-dock-2,Company Website,https://volatusdrones.ca/products/dji-dock-3,Company Website,High,"Canadian enterprise drone provider selling DJI Dock 2 and DJI Dock 3, including CSA-compliant Dock 3 for 24/7 autonomous operations. ",Comet | Claude | ChatGPT,3
Droniq GmbH,Germany,System Integrator,Dock 1; Dock 2; Dock 3,Unknown,http://www.droniq.de,https://de.linkedin.com/company/droniq,https://droniq.de/en/produkte/drone-in-a-box-system/dji-dock-2/,Company Website,https://droniq.de/en/dji-dock-europaweit-erste-betriebsgenehmigung/,Company Website,High,"Provides DJI Dock, Dock 2 and Dock 3 drone-in-a-box systems including Europe’s first BVLOS operating license with a German chemical company.",Comet | Claude | ChatGPT,3
Dronivo GmbH,Germany,Distributor,Dock 2; Dock 3,Unknown,https://www.dronivo.de,https://de.linkedin.com/company/dronivo,https://www.dronivo.de/DJI-Dock-2-no-Aircraft-Remote-Control-Sender,Company Website,https://www.dronivo.de/DJI-Dock-3-no-Aircraft-Remote-Control-Sender,Company Website,High,Drone systems provider in Ludwigshafen distributing DJI Dock 2 and DJI Dock 3 hardware and complete Dock 2 bundles with training and permits.,Comet | Claude | ChatGPT,3
Globe Flight GmbH,Germany,Authorized Dealer,Dock 1; Dock 2; Dock 3,Unknown,https://www.globe-flight.de,https://de.linkedin.com/company/globe-flight-gmbh,https://www.globe-flight.de/DJI-Dock-2-EN,Company Website,https://www.globe-flight.de/DJI-Dock-3-EN,Company Website,High,German DJI Enterprise dealer listing DJI Dock 2 and DJI Dock 3 with full technical specifications for local customers.,Comet | Claude | ChatGPT,3
Drone Store (drone-store.it),Italy,Reseller,Dock 2; Dock 3; Dock,Multiple,https://www.drone-store.it,https://www.linkedin.com/company/drone-store-italia/,https://www.drone-store.it/prodotto/dji-dock-2/,Company Website,https://www.drone-store.it/prodotto/dji-dock-2-con-matrice-3d/,Company Website,High,"Italian drone retailer selling DJI Dock 2 as an autonomous station for Matrice 3D/3DT, with detailed specs in Italian. ",Comet | Claude | ChatGPT,3
Navigate,Poland,Reseller,Dock 2; Dock 3; Dock,3+,https://navigate.pl,https://www.linkedin.com/company/navigate-pl/,https://navigate.pl/produkt/dji-dock-2/,Company Website,https://navigate.pl/produkt/dji-dock-3-m4d-m4td/,Product Listing,High,"Polish reseller selling DJI Dock 2 as a docking station for Matrice 3D/3TD, with detailed Polish-language technical specs. ",Comet | Claude | ChatGPT,3
Aero Nex FZCO (Saudi exhibitions),Saudi Arabia,System Integrator,Dock 2; Dock 3,Unknown,https://www.glider-aerial.com,https://www.linkedin.com/company/aero-nex-fzco/,https://intersec-saudiarabia.ksa.messefrankfurt.com/ksa/en/exhibitor-search.detail.html/aero-nex-fzco/mf_7_aexv8a00cn8s_4619417_,Industry Article,https://www.glider-aerial.com/product-page/dji-dock-3-overseas-edition-with-1-year-dock-3-warranty-from-aeronex,Company Website,High,Regional DJI Dock 3 solution provider exhibiting DJI Dock 3 at Intersec Saudi Arabia and selling DJI Dock 3 (overseas edition) bundles. ,Comet | Claude | ChatGPT,3
NineTenths,Saudi Arabia,Authorized Dealer,Dock 2; Dock 3,Unknown,https://www.9tenthsco.com,https://www.linkedin.com/company/ninetenthsco/,https://www.9tenthsco.com/about-us-ninetenths,Company Website,https://sa.zain.com/en/all-news/news-11-9-2023,Industry Article,High,Official DJI Enterprise dealer in Saudi Arabia; signed a strategic agreement with Zain KSA specifically around the DJI Dock autopilot platform. ,Comet | Claude | ChatGPT,3
Shamal for Technologies,Saudi Arabia,Distributor,Dock 1; Dock 2; Dock 3,Unknown,https://shamal.sa,https://www.linkedin.com/company/shamalforinfo/,https://shamal.sa/products,Company Website,https://shamal.sa/about,Company Website - About Page,High,Saudi DJI Enterprise authorized seller listing DJI Dock 2 and DJI Dock 3 on its products page for local enterprise deployment. ,Comet | Claude | ChatGPT,3
Terra Drone Arabia,Saudi Arabia,System Integrator,Dock 3,Unknown,https://terra-drone.com.sa,https://www.linkedin.com/company/terra-drone-arabia/,https://terra-drone.com.sa/dji-enterprise-partner/,Company Website,https://terra-drone.com.sa/all-you-need-to-know-about-dji-drone-for-your-industry/,Industry Article,High,Saudi-based DJI Enterprise partner listing Dock 3 among its DJI enterprise drone solutions and promoting DJI Dock for autonomous operations across industries. ,Comet | Claude | ChatGPT,3
Zain KSA (Drone Solutions),Saudi Arabia,Enterprise End-User,Dock 1; Dock 2; Dock 3,Unknown,https://sa.zain.com,https://www.linkedin.com/company/zain-ksa/,https://sa.zain.com/en/all-news/news-11-9-2023,Industry Article,https://menafn.com/1107052792/Drone-Solutions-From-Zain-Ksa-Signed-Exclusive-Agreement-With-Nine-Tenths-For-Dji-Dock-Autopilot-Platform,News Article - Partnership Announcement,High,Saudi telecom operator that signed an exclusive agreement with NineTenths to use the DJI Dock autopilot platform for its drone solutions; treated as an emerging Dock end-user. ,Comet | Claude | ChatGPT,3
Avetics Global,Singapore,System Integrator,Dock 1; Dock 2; Dock 2 & 3; Dock 3,Unknown,https://www.avetics.com,https://www.linkedin.com/company/avetics-global/,https://www.avetics.com/dji-dock-2,Company Website,https://www.avetics.com/dji-dock-3,Company Website,High,"DJI Authorised Enterprise Dealer in Singapore offering DJI Dock 2 and DJI Dock 3 solutions from its Sin Ming Road headquarters, including 24/7 autonomous operations and vehicle-mounted deployments. ",Comet | Claude | ChatGPT,3
AA Drones (aadrones.co.za),South Africa,System Integrator,Dock 2; Dock 3,multiple,https://aadrones.co.za,https://www.linkedin.com/company/aa-drones/,https://aadrones.co.za/product/dji-dock-3/,Company Website,https://aadrones.co.za/introducing-the-dji-dock-3-autonomous-drone-operations/,Industry Article,High,"South African DJI Dock 3 integrator focusing on agriculture, security and infrastructure, with detailed local content on Dock 3's performance in South African conditions. ",Comet | Claude | ChatGPT,3
Africa Drone Kings,South Africa,Reseller,Dock 1; Dock 2; Dock 3; Dock,multiple,https://africadronekingswc.co.za,https://www.linkedin.com/company/africadronekings/,https://africadronekingswc.co.za/products/dji-dock-3,Company Website,https://africadroneking.co.za/blog/2026/03/15/drone-as-first-responder-south-africa-dji-dock-3/,Blog,High,"South African drone retailer offering DJI Dock 3 for agriculture, security and surveillance with marketing tailored to local conditions. ",Comet | Claude | ChatGPT,3
GoUAV (TeleEye South Africa),South Africa,Distributor,Dock 2; Dock 3; Dock,multiple,https://gouav.co.za,https://www.linkedin.com/company/teleeye-south-africa/,https://gouav.co.za/pages/dji-dock-2,Company Website,https://gouav.co.za/pages/dji-dock-3,Company Website,High,Authorised DJI Enterprise distributor in South Africa offering DJI Dock 2 and DJI Dock 3 as part of a drone enablement program from its Bryanston base. ,Comet | Claude | ChatGPT,3
HDRT (Hennie's Drone Repairs and Training),South Africa,Authorized Dealer,Dock 2,multiple,https://www.hdrt.co.za,https://www.linkedin.com/company/hennies-drone-repairs-training/,https://www.hdrt.co.za/dji-dock-2,Company Website,https://www.hdrt.co.za,Company Website,High,"DJI authorised dealer in South Africa with two certified DJI Dock engineers, selling DJI Dock 2 with Matrice 3DT and providing repair and maintenance services. ",Comet | Claude | ChatGPT,3
DJI Dron (Distribuidor AUTORIZADO),Spain,Authorized Dealer,Dock 2; Dock 2 / Dock 3; Dock 3,Unknown,https://www.djidron.com,https://www.linkedin.com/company/dji-dron/,https://www.djidron.com/dron-dji/dji-dock-2/dji-dock-2/,Company Website,https://www.djidron.com/dron-dji/dji-dock-3/dji-dock-3/,Product Page,High,Authorized DJI distributor in Spain explicitly selling DJI Dock 2 with full technical description and pricing. ,Comet | Claude | ChatGPT,3
Aonic Thailand,Thailand,System Integrator,Dock 1; Dock 1 AND Dock 2; Dock 2,Unknown,https://aonic.com/th,https://www.linkedin.com/company/aonic-asia/,https://aonic.com/th/dji/dock-2/,Company Website,https://aonic.com/th/eng/dji/dji-dock/,Company Website,High,"DJI partner in Thailand offering DJI Dock and DJI Dock 2, with Thai-language technical pages describing Dock 2 features, Matrice 3D/3TD compatibility, and FlightHub 2-based remote operations. ",Comet | Claude | ChatGPT,3
The Drone Centre (Dubai),United Arab Emirates,Authorized Dealer,Dock 1 Dock 2 Dock 3; Dock 2; Dock 3,Unknown,https://thedronecentre.ae,https://www.linkedin.com/company/thedronecentre/,https://thedronecentre.ae/dji-dock3/,Company Website,https://thedronecentre.ae/dji-unveils-the-dock-3-a-new-era-for-autonomous-drone-operations-unfolds-copy/,Industry Article,High,"Dubai-based DJI Enterprise partner promoting DJI Dock 3 for 24/7 autonomous operations and Middle East use cases in oil & gas, infrastructure, and public safety.",Comet | Claude | ChatGPT,3
DJI Hasselblad UK (dji-retail.co.uk),United Kingdom,Authorized Dealer,Dock 2; Dock 3,Unknown,https://dji-retail.co.uk,https://www.linkedin.com/company/dji-store-uk/,https://dji-retail.co.uk/products/dji-dock-2,Company Website,https://dji-retail.co.uk/products/dji-dock-3-dock-only,Company Website,High,Official DJI Hasselblad retail partner in the UK listing DJI Dock 2 and DJI Dock 3 for local enterprise customers.,Comet | Claude | ChatGPT,3
heliguy™,United Kingdom,System Integrator,Dock 1; Dock 2; Dock 3,Unknown,https://www.heliguy.com,https://www.linkedin.com/company/heliguy,https://www.heliguy.com/blogs/posts/heliguy-receives-first-dji-dock-in-uk/,Industry Article,https://www.heliguy.com/blogs/posts/bvlos-dji-dock-pathway/,Industry Article,High,UK DJI Enterprise partner and systems integrator which received the first DJI Dock in the UK and holds CAA approvals for BVLOS operations with DJI Dock 1 and 2.,Comet | Claude | ChatGPT,3
iRed Limited,United Kingdom,Reseller,Dock 2; Dock 3,Unknown,https://store.ired.co.uk,https://www.linkedin.com/company/ired-uk/,https://store.ired.co.uk/products/dji-dock-2,Company Website,https://store.ired.co.uk/products/dock-3,Company Website,High,UK thermal imaging and inspection specialist reselling DJI Dock 2 hardware for unattended inspection and monitoring use cases.,Comet | Claude | ChatGPT,3
Drone Nerds (Enterprise),United States,System Integrator,Dock 1; Dock 2; Dock 3,Unknown,https://enterprise.dronenerds.com,https://www.linkedin.com/company/drone-nerds/,https://enterprise.dronenerds.com/drone-solutions/drone-docking-stations/dji-dock-2/,Company Website,https://enterprise.dronenerds.com/drone-solutions/drone-docking-stations/dji-dock-3/,Company Website,High,"Leading US DJI Enterprise partner offering DJI Dock, Dock 2 and Dock 3 solutions, including consulting, integration and virtual demos for remote operations.",Comet | Claude | ChatGPT,3
Drones For Hire,Australia,Reseller,Dock 1; Dock 2; Dock 3,Unknown,https://dronesforhire.com.au,,https://dronesforhire.com.au/shop/drone/DJI-Dock,Company Website,https://dronesforhire.com.au/shop/drone/DJI-Dock-3,Company Website,High,Australia's largest discount drone store; stocks all DJI Dock models; price match guarantee; operates nationwide,Claude | ChatGPT,2
EE Group Australia Pty Ltd,Australia,Distributor,Dock 1; Dock 2; Dock 3,Unknown,https://www.eegroup.com.au,https://au.linkedin.com/company/ee-group-australia-ee-hobbies-australia-pty-ltd,https://www.eegroup.com.au/enterprise-dji-dock,Company Website,https://www.eegroup.com.au/dji-dock-3,Company Website,High,100% authorized DJI Enterprise distributor in Australia; based in Melbourne; provides DJI Dock solutions with FlightHub 2 integration; distributes all Dock models,Claude | ChatGPT,2
Drone Depot,Belgium,Reseller,Dock 2; Dock 2 and Dock 3; Dock 3,Unknown,https://www.dronedepot.be,Unknown,https://www.dronedepot.be/product/dji-dock/,Company Website,https://www.dronedepot.be/winkel/,Company Website,High,Belgian DJI specialist in Affligem. Authorized distributor for DJI and accessories. Offers DJI Dock products for autonomous operations. Location: Affligem region (Halle-Vilvoorde).,Claude | ChatGPT,2
Droprise,Belgium,Authorized Dealer,Dock 2; Dock 2 and Dock 3; Dock 3,Unknown,https://www.droprise.be/en_GB,https://be.linkedin.com/company/droprise,https://www.droprise.be/en_GB/dji-dock-3,Company Website,https://www.droprise.be/en_GB/shop/category/enterprise-docking-stations-141,Company Website,High,"Authorized DJI Enterprise reseller and DJI Dock partner in Benelux. Located in Oostende. Phone: +32 59 24 20 50. Email: info@droprise.be. Offers hardware and software solutions, integrations, training.",Claude | ChatGPT,2
Koningdrone,Belgium,Reseller,Dock 1; Dock 2; Dock 3,Unknown,https://koningdrone.be,Unknown,https://koningdrone.be/product/dji-dock-2/,Company Website,https://koningdrone.be/en/product/dji-matrice-4td/,Company Website,High,Drone specialist selling DJI Dock 2 and enterprise solutions in Belgium. Serves Belgium and Europe with carefully selected drone equipment.,Claude | ChatGPT,2
