company_name,country,role,dock_models,dock_count,website,linkedin_url,evidence_url_1,source_type_1,evidence_url_2,source_type_2,confidence,notes
Droniq GmbH,Germany,System Integrator,Dock 2; Dock 3,Unknown,https://droniq.de/en/,https://de.linkedin.com/company/droniq,https://droniq.de/en/pressemitteilung-droniq-zeigt-naechsten-entwicklungsschritt-der-industriellen-drohnennutzung-auf/,DJI Case Study,https://droniq.de/en/droniqlive-automatisierte-inspektionen-mit-dji-dock/,Industry Article,High,"Frankfurt-based joint venture of DFS Deutsche Flugsicherung (51%) and Deutsche Telekom (49%). Received Europe's first DJI Dock operating license in May 2023. Works with VGF on infrastructure inspection."
U-ROB,Germany,System Integrator; Authorized Dealer,Dock 1; Dock 2; Dock 3,Unknown,https://u-rob.com/,https://de.linkedin.com/company/u-rob,https://u-rob.com/shop/schulungen/dji-dock-2-inkl-genehmigung-und-inbetriebnahme/,Company Website,https://u-rob.com/blog/technik/vorstellung-des-dji-dock-2/,Company Website,High,"Leading DJI reseller in Germany with 14 locations in Germany and Austria. Provides complete packages with licensing and commissioning. Developed EasyDock software for local server operations. First to receive Germany's DJI Dock 2 BVLOS approval for customer viscan GmbH."
Droneparts.de,Germany,Authorized Dealer; Reseller,Dock 2; Dock 3,Unknown,https://droneparts.de/,Not Found,https://droneparts.de/drohnen/dji-enterprise/dji-dock-2/,Company Website,https://droneparts.de/Drohnen/DJI-Enterprise/DJI-Dock-3/,Company Website,High,"Official DJI Enterprise dealer in Germany. Located at Besigheimer Straße 20, 74394 Hessigheim. Supplies over 35,000 customers worldwide."
Copter-Expert GmbH,Germany,Authorized Dealer,Dock 2; Dock 3,Unknown,https://copter-expert.de/,https://www.linkedin.com/in/cesare-piro-263325142/,https://copter-expert.de/collections/dji-dock,Company Website,https://copter-expert.de/products/dji-dock-3,Company Website,High,"Certified by Federal Aviation Office (Luftfahrtbundesamt) since 2017. Designated testing center for remote pilots since 2021. Offers DJI Dock systems and training."
Globe-Flight.de,Germany,Authorized Dealer,Dock 1; Dock 2; Dock 3,Unknown,https://www.globe-flight.de/,Not Found,https://www.globe-flight.de/DJI-Dock-2-EN,Company Website,https://www.globe-flight.de/DJI-Dock-3-EN,Company Website,High,"German-based distributor offering complete DJI Dock product line with pricing and product information."
Airclip.de,Germany,Authorized Dealer,Dock 2; Dock 3,Unknown,https://www.airclip.de/,Not Found,https://www.airclip.de/DJI-Dock-2,Company Website,https://www.airclip.de/DJI-Dock-3,Company Website,High,"Offers DJI Dock 2 and 3 with complete packages including operating licenses. Specializes in Solar Inspection Dock 3 packages."
Vermessung3D,Germany,System Integrator; DFR Service Provider,Dock 2; Dock 3,Unknown,https://vermessung3d.de/,Not Found,https://vermessung3d.de/produkt/dji-dock-2/,Company Website,https://mostrobotics.com/dji-dock-3-vermessung,Industry Article,High,"Located in Hagen, Germany. Specializes in UAV surveying complete systems. Offers DJI Dock 2 and 3 for surveying and inspections."
Dronivo.de,Germany,Authorized Dealer; Reseller,Dock 2; Dock 3,Unknown,https://www.dronivo.de/,Not Found,https://www.dronivo.de/DJI-Dock-2-Complete-solution-inkl-training-and-permit,Company Website,https://www.dronivo.de/DJI-Dock-3-no-Aircraft-Remote-Control-Sender,Company Website,High,"Drone expert in Germany for hobby, authority BOS, and industry applications. Offers complete DJI Dock solutions with training and permits."
Pro Fly Center,Germany,System Integrator; Training Provider,Dock 1; Dock 2; Dock 3,Unknown,https://proflycenter.com/en/,https://www.facebook.com/proflycenterdjiacademy/,https://proflycenter.com/en/dji-dock-2-dji-dock-mini-der-naechste-schritt-im-automatisierten-flug.htm,Company Website,https://proflycenter.com/blog/morgen-findet-der-erste-vollautomatisierte-drohnenflug-in-deutschland-statt-dji-dock.html,Company Website,High,"European DJI Academy training center in Bad Schönborn. Offers Dock Certificate training. Implementing one of Europe's largest DJI Dock projects for pipeline construction in northern Germany."
GDDC GmbH,Germany,Authorized Dealer,Dock 3,Unknown,https://www.gddc-sh.de/,Not Found,https://www.gddc-sh.de/product/dji-dock-3,Company Website,https://www.gddc-sh.de/store/home,Company Website,High,"Official DJI Europa dealer in Northern Germany. Designated testing center of the LBA. Specializes in energy sector and automated drone systems."
